SERIALNO,PWGTP,age,gender,marriage_status,income
44792,125,77,Male,Divorced,0.0
45552,290,25,Female,Never married or under 15 years old,0.0
45552,222,4,Male,Never married or under 15 years old,
45552,115,2,Female,Never married or under 15 years old,
45552,208,27,Male,Never married or under 15 years old,31500.0
45837,122,59,Female,Divorced,18000.0
45979,82,49,Female,Married,120000.0
45979,76,24,Female,Never married or under 15 years old,1500.0
45979,74,22,Female,Never married or under 15 years old,0.0
45979,144,24,Male,Never married or under 15 years old,0.0
46203,300,59,Male,Married,0.0
46203,314,59,Female,Married,45000.0
46203,418,23,Female,Never married or under 15 years old,0.0
46744,201,55,Male,Never married or under 15 years old,26000.0
47265,48,76,Male,Married,0.0
47265,55,80,Female,Married,0.0
47414,82,60,Female,Married,0.0
47414,151,72,Male,Married,0.0
47544,100,50,Male,Married,38000.0
47544,122,52,Female,Married,25000.0
48090,25,50,Male,Married,42000.0
48090,24,31,Female,Married,50000.0
48090,16,1,Male,Never married or under 15 years old,
48090,19,1,Female,Never married or under 15 years old,
48677,192,21,Male,Never married or under 15 years old,38000.0
48677,206,23,Female,Never married or under 15 years old,3000.0
49153,20,64,Female,Married,0.0
49153,44,53,Male,Married,0.0
49905,12,50,Male,Divorced,0.0
50453,96,85,Male,Married,0.0
50453,134,86,Female,Married,0.0
50477,86,72,Female,Widowed,15100.0
50834,9,56,Female,Married,28000.0
50834,11,54,Male,Married,135000.0
50946,85,62,Female,Widowed,0.0
51989,119,54,Female,Never married or under 15 years old,46800.0
51989,374,26,Female,Never married or under 15 years old,0.0
52006,77,49,Male,Married,33800.0
52006,160,37,Female,Married,23200.0
52006,240,18,Female,Never married or under 15 years old,4000.0
52006,91,17,Male,Never married or under 15 years old,1300.0
52006,91,10,Male,Never married or under 15 years old,
52006,89,5,Male,Never married or under 15 years old,
52521,37,56,Female,Married,0.0
52521,33,70,Male,Married,0.0
52993,13,32,Male,Married,160000.0
52993,18,29,Female,Married,19000.0
52993,19,6,Female,Never married or under 15 years old,
52993,15,3,Male,Never married or under 15 years old,
52993,23,0,Female,Never married or under 15 years old,
53688,109,40,Female,Married,111000.0
53688,108,43,Male,Married,100000.0
53688,97,16,Male,Never married or under 15 years old,0.0
53688,108,11,Male,Never married or under 15 years old,
54269,44,40,Female,Never married or under 15 years old,0.0
54619,39,41,Female,Married,7800.0
54619,27,52,Male,Married,17200.0
54619,41,12,Male,Never married or under 15 years old,
54619,43,10,Male,Never married or under 15 years old,
55064,88,25,Male,Never married or under 15 years old,40000.0
55161,65,65,Male,Married,15000.0
55161,70,62,Female,Married,2100.0
55698,75,64,Female,Married,15000.0
55698,115,65,Male,Married,25000.0
56167,29,67,Female,Married,0.0
56167,47,71,Male,Married,0.0
56498,88,76,Female,Widowed,4000.0
57247,282,44,Male,Married,54000.0
58016,25,34,Male,Never married or under 15 years old,0.0
58303,248,44,Male,Married,60000.0
58303,136,43,Female,Married,10000.0
58303,253,15,Male,Never married or under 15 years old,0.0
58303,253,11,Female,Never married or under 15 years old,
58481,56,75,Female,Widowed,0.0
58481,83,1,Female,Never married or under 15 years old,
58642,57,57,Male,Married,90000.0
58642,75,54,Female,Married,78000.0
59057,55,44,Female,Divorced,30000.0
59057,60,16,Female,Never married or under 15 years old,0.0
59064,42,45,Male,Divorced,40000.0
59789,22,13,Female,Never married or under 15 years old,
59904,65,62,Male,Divorced,58000.0
61492,59,29,Female,Married,61000.0
61492,103,32,Male,Married,40000.0
63001,28,26,Female,Never married or under 15 years old,29000.0
63271,170,35,Female,Never married or under 15 years old,0.0
63271,92,16,Male,Never married or under 15 years old,0.0
63271,209,15,Female,Never married or under 15 years old,0.0
63981,30,55,Male,Married,50000.0
63981,53,53,Female,Married,30000.0
65379,90,56,Male,Married,100000.0
65379,97,57,Female,Married,500.0
65484,76,45,Male,Married,70000.0
65484,46,45,Female,Married,42000.0
65484,66,17,Female,Never married or under 15 years old,900.0
65484,57,15,Male,Never married or under 15 years old,0.0
65484,41,12,Female,Never married or under 15 years old,
65484,66,15,Female,Never married or under 15 years old,0.0
65484,46,12,Male,Never married or under 15 years old,
65976,51,67,Male,Married,22500.0
65976,37,66,Female,Married,3200.0
65976,87,30,Female,Divorced,0.0
65976,144,27,Male,Never married or under 15 years old,1500.0
65976,72,4,Male,Never married or under 15 years old,
65987,77,47,Female,Divorced,0.0
66352,134,33,Female,Married,0.0
66352,191,34,Male,Married,99000.0
66352,118,13,Male,Never married or under 15 years old,
66352,118,11,Male,Never married or under 15 years old,
66352,118,9,Male,Never married or under 15 years old,
66352,91,6,Female,Never married or under 15 years old,
66829,14,55,Female,Widowed,0.0
67452,56,65,Male,Divorced,18000.0
67452,144,36,Male,Divorced,15000.0
67452,47,43,Female,Divorced,20000.0
67452,118,19,Female,Never married or under 15 years old,13000.0
67584,197,36,Female,Married,0.0
67584,95,36,Male,Married,75000.0
67584,139,18,Male,Never married or under 15 years old,0.0
68004,77,73,Female,Widowed,0.0
68394,33,83,Female,Never married or under 15 years old,0.0
68725,127,47,Female,Divorced,41000.0
68725,207,22,Female,Never married or under 15 years old,12000.0
68725,115,11,Female,Never married or under 15 years old,
69838,175,53,Female,Never married or under 15 years old,20000.0
70070,78,73,Male,Married,47700.0
70070,131,57,Female,Married,0.0
70564,57,66,Male,Divorced,30000.0
70681,84,57,Female,Married,18000.0
70681,60,47,Male,Married,0.0
70753,16,59,Male,Never married or under 15 years old,64000.0
71092,73,33,Male,Never married or under 15 years old,35400.0
71381,71,62,Male,Married,96000.0
71381,36,59,Female,Married,0.0
72937,32,25,Male,Never married or under 15 years old,230.0
73349,66,49,Female,Married,22000.0
73349,72,58,Male,Married,42000.0
74552,177,86,Male,Married,10700.0
74552,174,80,Female,Married,0.0
75765,106,40,Male,Married,84000.0
75765,108,42,Female,Married,0.0
75765,111,14,Male,Never married or under 15 years old,
75765,77,9,Female,Never married or under 15 years old,
75765,114,7,Male,Never married or under 15 years old,
75765,98,2,Female,Never married or under 15 years old,
78391,240,64,Female,Never married or under 15 years old,0.0
79054,11,59,Female,Never married or under 15 years old,0.0
79054,11,56,Female,Never married or under 15 years old,0.0
79072,105,79,Male,Married,66000.0
79072,93,78,Female,Married,0.0
79270,62,41,Male,Married,30000.0
79270,62,41,Female,Married,25000.0
79270,43,16,Female,Never married or under 15 years old,700.0
79270,66,14,Male,Never married or under 15 years old,
79270,67,12,Male,Never married or under 15 years old,
79270,45,8,Female,Never married or under 15 years old,
79270,66,5,Male,Never married or under 15 years old,
79530,65,68,Male,Divorced,16300.0
80515,91,56,Female,Married,0.0
80515,66,60,Male,Married,71000.0
81910,102,63,Male,Married,68000.0
81910,99,58,Female,Married,0.0
82048,74,67,Female,Widowed,0.0
82085,133,33,Female,Never married or under 15 years old,5000.0
82085,99,29,Male,Never married or under 15 years old,11000.0
82467,148,35,Female,Married,0.0
82467,180,44,Male,Married,0.0
82467,183,9,Female,Never married or under 15 years old,
82467,147,7,Male,Never married or under 15 years old,
82467,176,2,Female,Never married or under 15 years old,
82467,138,0,Male,Never married or under 15 years old,
82964,76,28,Male,Married,147000.0
82964,117,29,Female,Married,52000.0
82964,58,5,Female,Never married or under 15 years old,
82964,58,5,Female,Never married or under 15 years old,
83455,196,52,Male,Married,40200.0
83455,235,52,Female,Married,0.0
83574,55,75,Female,Divorced,9600.0
83621,107,22,Male,Never married or under 15 years old,13000.0
83621,28,19,Male,Never married or under 15 years old,35400.0
85075,323,29,Female,Married,0.0
85075,224,24,Male,Married,22900.0
85075,382,2,Female,Never married or under 15 years old,
85075,383,1,Male,Never married or under 15 years old,
85075,383,0,Female,Never married or under 15 years old,
85075,267,30,Male,Never married or under 15 years old,39000.0
85075,267,21,Male,Never married or under 15 years old,0.0
85704,52,72,Female,Married,0.0
85704,121,66,Male,Married,0.0
86972,303,41,Male,Married,32000.0
86972,269,39,Female,Married,67000.0
86972,179,2,Male,Never married or under 15 years old,
86999,31,26,Male,Never married or under 15 years old,0.0
87361,25,21,Female,Never married or under 15 years old,5400.0
88319,89,69,Female,Married,0.0
88319,73,62,Male,Married,45000.0
88544,68,53,Female,Married,18400.0
88544,58,76,Male,Married,30100.0
88544,48,16,Male,Never married or under 15 years old,3800.0
88604,116,21,Female,Married,10000.0
88604,135,20,Male,Married,25000.0
89803,44,62,Female,Married,620.0
89803,49,71,Male,Married,30100.0
89965,86,51,Female,Divorced,12200.0
89965,58,18,Male,Never married or under 15 years old,0.0
89965,84,60,Male,Married,29000.0
90554,94,66,Male,Married,0.0
91278,255,48,Male,Married,60000.0
91278,128,46,Female,Married,50000.0
91278,193,16,Female,Never married or under 15 years old,5000.0
94583,34,61,Male,Never married or under 15 years old,0.0
95578,183,43,Male,Divorced,136000.0
95614,78,34,Male,Married,40000.0
95614,72,37,Female,Married,15000.0
95830,287,21,Female,Never married or under 15 years old,2000.0
95830,370,22,Female,Never married or under 15 years old,10000.0
96942,11,40,Male,Never married or under 15 years old,0.0
97720,212,54,Male,Married,65000.0
97720,116,56,Female,Married,10000.0
98295,184,34,Female,Married,9000.0
98295,192,35,Male,Married,90000.0
98295,168,16,Male,Married,350.0
98295,190,15,Female,Never married or under 15 years old,0.0
98763,29,74,Male,Married,0.0
98763,25,70,Female,Married,0.0
98852,56,76,Male,Divorced,0.0
99955,49,71,Male,Married,0.0
99955,37,70,Female,Married,0.0
101016,86,66,Female,Divorced,0.0
101638,76,25,Male,Never married or under 15 years old,16000.0
101638,113,24,Male,Never married or under 15 years old,19000.0
101733,184,75,Male,Married,0.0
101733,129,63,Female,Married,12600.0
101978,62,75,Female,Married,0.0
101978,102,71,Male,Married,0.0
103434,56,64,Female,Widowed,0.0
104921,102,62,Female,Widowed,9000.0
105460,113,30,Male,Married,70000.0
105460,93,30,Female,Married,0.0
105460,48,5,Male,Never married or under 15 years old,
105460,48,4,Female,Never married or under 15 years old,
105460,48,3,Male,Never married or under 15 years old,
105460,48,0,Male,Never married or under 15 years old,
105943,13,68,Female,Married,0.0
105943,13,64,Male,Married,13500.0
106662,73,30,Male,Never married or under 15 years old,85000.0
107580,157,21,Female,Never married or under 15 years old,5100.0
107580,116,1,Male,Never married or under 15 years old,
108278,44,71,Male,Married,0.0
108278,49,71,Female,Married,0.0
108278,53,85,Female,Never married or under 15 years old,0.0
110553,170,72,Female,Widowed,0.0
110924,72,45,Male,Married,50000.0
110924,40,46,Female,Married,74000.0
111036,137,51,Male,Married,69000.0
111036,64,53,Female,Married,44300.0
111100,52,19,Male,Never married or under 15 years old,0.0
112200,69,31,Male,Married,25000.0
112303,172,41,Female,Married,75000.0
112303,164,40,Male,Married,65000.0
112303,124,10,Female,Never married or under 15 years old,
112303,142,7,Male,Never married or under 15 years old,
112396,55,60,Male,Married,0.0
112396,97,60,Female,Married,20000.0
112396,99,27,Female,Never married or under 15 years old,60.0
112486,7,45,Female,Married,28800.0
112486,11,49,Male,Married,28800.0
